,original index in excel,y1,y2,y1_pred,y2_pred,y1_predVar,y2_predVar,iter
63,63,0.110488739,1.41066996,0.10983718319133375,1.3516296281233635,0.1013523695332517,1.0438046760511142,0
64,64,0.109023084,1.568238196,0.08348142190758046,1.5018636237506553,0.10058478754117302,1.0527752297028188,0
65,65,0.058776969,1.466501225,0.07227120426322564,1.5002435680810136,0.09888873694393775,1.0697485920397687,0
66,66,0.024365029,1.558312638,0.06246843336854424,1.456780064634756,0.1002560155246222,1.052009108776851,0
67,67,0.057427754,0.960297756,0.07154817297012458,1.0010905757284978,0.10209075700196851,1.04428811522807,0
68,68,0.075787441,0.849875921,0.07148013228607111,0.9210004054806499,0.10034830927370739,1.055892073357901,0
69,69,0.063003048,0.849875921,0.07036280326702407,0.9239087401183392,0.10208422380900548,1.0433355119676737,0
70,70,0.108967654,0.399875926,0.10264251013255159,0.4873094953772904,0.1030202809690402,1.0383495470857322,0
71,71,0.095463284,0.219602975,0.09107449586499786,0.4585517600033221,0.10176483076519895,1.044437221244627,0
72,72,0.05262694,1.399503707,0.07223061004548527,1.2086792510562436,0.10224879890310243,1.0395913980579752,0
73,73,0.163384076,0.888337459,0.1256477562078439,0.9597659431522789,0.10242935233038,1.0381029118114888,0
74,74,0.10429178,0.764267982,0.10488912748881823,0.8038133409223372,0.10187892708898771,1.0416277691287101,0
75,75,0.099903583,0.769230761,0.08666848821489168,0.8817488063656469,0.102635454487577,1.0378007520844506,0
76,76,0.09768311,1.200992543,0.09590717514521858,1.1729689334515494,0.1037855985792896,1.033865414682851,0
77,77,0.102524098,1.013647631,0.09868173269240918,1.052026926566069,0.10302395894392592,1.0359532343070617,0
78,78,0.100795989,1.163771699,0.09713357330216674,1.1403694068082666,0.1040038319080887,1.0328440690878282,0
79,79,0.10956968,1.335483856,0.11928715574324,1.296700605608028,0.10148313746982049,1.0414296878213265,0
80,80,0.219796155,1.756823802,0.13288442383174467,1.602326921931478,0.09996423330270485,1.0480654523061033,0
81,81,0.087278053,1.331265494,0.10291513411261223,1.2670469952930967,0.10067807157619564,1.043884327111265,0
